Relation,Lag,Percentage,Count,Total Samples
P → P,1,2.22,4,180
P → T,0,3.89,7,180
P → T,1,4.44,8,180
P → H,0,4.44,8,180
P → CO2,1,4.44,8,180
P → CO2,0,1.11,2,180
P → aero,0,2.22,4,180
P → aero,1,1.11,2,180
T → P,0,3.89,7,180
T → P,1,4.44,8,180
T → T,1,78.33,141,180
T → H,0,30.56,55,180
T → H,1,33.89,61,180
T → CO2,0,27.78,50,180
T → CO2,1,40.0,72,180
T → aero,0,22.78,41,180
T → aero,1,23.33,42,180
H → P,1,1.67,3,180
H → P,0,4.44,8,180
H → T,1,25.0,45,180
H → T,0,30.56,55,180
H → H,1,61.11,110,180
H → CO2,0,23.89,43,180
H → CO2,1,20.0,36,180
H → aero,0,21.67,39,180
H → aero,1,20.56,37,180
CO2 → P,0,1.11,2,180
CO2 → P,1,2.78,5,180
CO2 → T,0,27.78,50,180
CO2 → T,1,21.11,38,180
CO2 → H,0,23.89,43,180
CO2 → H,1,16.11,29,180
CO2 → CO2,1,65.0,117,180
CO2 → aero,0,23.89,43,180
CO2 → aero,1,18.89,34,180
aero → P,0,2.22,4,180
aero → P,1,1.67,3,180
aero → T,0,22.78,41,180
aero → T,1,18.89,34,180
aero → H,1,26.67,48,180
aero → H,0,21.67,39,180
aero → CO2,0,23.89,43,180
aero → CO2,1,24.44,44,180
aero → aero,1,64.44,116,180
